frame_id,filename,ts_iso,ts,width,height,leaf_coverage_pct,exg_mean,vari_mean,cive_mean,sharpness_laplacian,fruit_count,ripe,unripe,stains_area_pct,stains_method,malformed,frame_idx,ripe_pct
Mision_Prueba__photo_41_2025-11-11_22-53-05,photo_41_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,29.233642578125004,0.1338798999786377,6.428402423858643,18.742202758789062,14947.662367100023,177,0,177,1.99755859375,lab_threshold_v0.1,234,38,0.0
Mision_Prueba__photo_42_2025-11-11_22-53-05,photo_42_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,41.33780924479167,0.06890550255775452,22.614200592041016,18.76796531677246,15538.478054447422,136,0,136,3.9814453125,lab_threshold_v0.1,89,39,0.0
Mision_Prueba__photo_43_2025-11-11_22-53-05,photo_43_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,60.57828776041667,0.11252185702323914,15.040366172790527,18.750612258911133,18940.893952518443,58,0,58,5.766764322916667,lab_threshold_v0.1,236,40,0.0
Mision_Prueba__photo_44_2025-11-11_22-53-05,photo_44_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,34.11051432291667,0.0977499932050705,23.176828384399414,18.75599479675293,14592.187347464831,34,0,34,1.5620930989583333,lab_threshold_v0.1,180,41,0.0
Mision_Prueba__photo_45_2025-11-11_22-53-05,photo_45_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,77.25748697916667,0.1733008325099945,1.124546766281128,18.727052688598633,12902.015033321359,142,0,142,7.589436848958333,lab_threshold_v0.1,341,42,0.0
Mision_Prueba__photo_46_2025-11-11_22-53-05,photo_46_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,75.722900390625,0.15628103911876678,1.8370310068130493,18.733787536621094,10885.786613981014,310,0,310,7.924397786458333,lab_threshold_v0.1,296,43,0.0
Mision_Prueba__photo_47_2025-11-11_22-53-05,photo_47_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,42.433349609375,0.1664625108242035,0.6577004194259644,18.729928970336914,10062.797744665808,362,0,362,2.8181966145833335,lab_threshold_v0.1,191,44,0.0
Mision_Prueba__photo_48_2025-11-11_22-53-05,photo_48_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,27.985270182291664,0.16522900760173798,3.651456594467163,18.730405807495117,8301.752188566206,348,0,348,1.4139811197916667,lab_threshold_v0.1,236,45,0.0
Mision_Prueba__photo_49_2025-11-11_22-53-05,photo_49_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,60.57828776041667,0.11252185702323914,15.040366172790527,18.750612258911133,18940.893952518443,58,0,58,5.766764322916667,lab_threshold_v0.1,236,46,0.0
Mision_Prueba__photo_4_2025-11-11_22-53-05,photo_4_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,35.56722005208333,0.15897580981254578,0.23795470595359802,18.733491897583008,3503.023115496308,114,0,114,2.1925455729166665,lab_threshold_v0.1,105,47,0.0
Mision_Prueba__photo_50_2025-11-11_22-53-05,photo_50_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,34.11051432291667,0.0977499932050705,23.176828384399414,18.75599479675293,14592.187347464831,34,0,34,1.5620930989583333,lab_threshold_v0.1,180,48,0.0
